iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
1807,4000,0.6616,0.1178,0.2215,0.4501,0.4631,-0.0176,11.48,163.45,0.76,129493.0,0.0,0.2289,0.0652,-0.0019,-0.077,0.5348,-0.0115,1.02
1808,4000,0.6606,0.119,0.2213,0.4511,0.4443,-0.0178,10.91,196.02,0.76,130077.0,0.0,0.2255,0.066,-0.0019,-0.0808,0.4849,-0.0124,1.02
1809,4000,0.6599,0.1171,0.224,0.4155,0.4406,-0.0185,11.0,193.97,0.76,129830.0,0.0,0.2118,0.0599,-0.002,-0.074,0.4423,-0.0127,1.02
1810,4000,0.6595,0.1162,0.2253,0.4249,0.487,-0.0154,9.56,159.3,0.76,129922.0,0.0,0.2198,0.0611,-0.0019,-0.0742,0.504,-0.0129,1.02
1811,4000,0.6634,0.1186,0.219,0.4374,0.4679,-0.0181,11.74,186.41,0.76,129201.0,0.0,0.2247,0.0632,-0.0019,-0.0757,0.4886,-0.0124,1.02
1812,4000,0.6664,0.1158,0.2188,0.4684,0.4491,-0.0152,10.15,181.2,0.76,129931.0,0.0,0.2368,0.0665,-0.0021,-0.0812,0.5647,-0.0111,1.02
1813,4000,0.6665,0.1149,0.2194,0.4466,0.4658,-0.0155,9.95,200.11,0.75,130529.0,0.0,0.2271,0.0631,-0.0018,-0.0785,0.5884,-0.0091,1.02
1814,4000,0.6592,0.1163,0.225,0.4415,0.4494,-0.0203,10.1,158.36,0.76,128759.0,0.0,0.2282,0.062,-0.0021,-0.0753,0.5167,-0.0134,1.02
1815,4000,0.6554,0.1174,0.2282,0.458,0.4636,-0.0122,11.39,185.7,0.75,130936.0,0.0,0.2333,0.0655,-0.0021,-0.0798,0.5416,-0.012,1.02
1816,4000,0.6527,0.1162,0.2323,0.4368,0.4667,-0.018,11.15,165.72,0.76,129288.0,0.0,0.2267,0.062,-0.0016,-0.0759,0.5041,-0.0118,1.02
1817,4000,0.6511,0.1183,0.2319,0.4472,0.4589,-0.0165,11.18,171.47,0.75,130931.0,0.0,0.226,0.0647,-0.0016,-0.0784,0.5758,-0.013,1.02
1818,4000,0.6529,0.1187,0.2295,0.4558,0.4753,-0.0135,11.89,188.25,0.75,130243.0,0.0,0.2343,0.0649,-0.0021,-0.0784,0.5686,-0.0138,1.03
1819,4000,0.6541,0.1178,0.229,0.4418,0.4453,-0.0174,10.82,179.9,0.76,129968.0,0.0,0.2257,0.0623,-0.0021,-0.0776,0.5688,-0.0124,1.03
1820,4000,0.6538,0.1194,0.2275,0.4283,0.4452,-0.0201,10.76,172.12,0.75,130647.0,0.0,0.2145,0.0601,-0.002,-0.0725,0.5383,-0.0128,1.03
1821,4000,0.6581,0.1209,0.2218,0.4442,0.4755,-0.015,11.16,161.66,0.75,130576.0,0.0,0.2315,0.0615,-0.002,-0.0754,0.5524,-0.0125,1.03
1822,4000,0.6646,0.12,0.2162,0.445,0.4752,-0.0159,11.54,177.76,0.76,129753.0,0.0,0.2275,0.0616,-0.002,-0.0747,0.5515,-0.0092,1.03
1823,4000,0.6687,0.1176,0.2142,0.4462,0.4694,-0.0145,12.35,180.38,0.75,130529.0,0.0,0.2303,0.0619,-0.0016,-0.0752,0.5033,-0.0089,1.02
1824,4000,0.6725,0.1131,0.2148,0.4221,0.4665,-0.0172,11.58,176.06,0.76,129237.0,0.0,0.2162,0.0596,-0.0019,-0.0721,0.5567,-0.0124,1.02
1825,4000,0.6731,0.115,0.2124,0.4267,0.4596,-0.0203,10.96,183.48,0.76,129885.0,0.0,0.2214,0.0583,-0.0017,-0.0704,0.5693,-0.0134,1.02
1826,4000,0.6718,0.1186,0.21,0.4283,0.5019,-0.0154,11.45,173.46,0.76,129957.0,0.0,0.2294,0.0571,-0.002,-0.069,0.6262,-0.0124,1.02
1827,4000,0.674,0.1185,0.208,0.4533,0.4683,-0.0158,11.02,157.14,0.76,129334.0,0.0,0.2367,0.0634,-0.002,-0.0766,0.5204,-0.0137,1.02
1828,4000,0.6781,0.118,0.2044,0.4294,0.4797,-0.0161,10.91,179.08,0.76,129177.0,0.0,0.2219,0.0612,-0.0018,-0.0749,0.4672,-0.012,1.02
1829,4000,0.678,0.1183,0.2042,0.4248,0.4875,-0.0166,12.02,195.41,0.76,130165.0,0.0,0.2258,0.0579,-0.002,-0.0715,0.5453,-0.0138,1.02
1830,4000,0.6763,0.1185,0.2058,0.4259,0.4828,-0.0165,11.53,184.12,0.75,130682.0,0.0,0.2242,0.0591,-0.0019,-0.0716,0.4893,-0.0121,1.02
1831,4000,0.6779,0.1152,0.2075,0.4378,0.492,-0.012,10.98,170.41,0.75,130665.0,0.0,0.2319,0.0599,-0.0017,-0.0745,0.4998,-0.0135,1.03
1832,4000,0.6749,0.1153,0.2107,0.4491,0.4794,-0.0145,11.0,177.61,0.76,130094.0,0.0,0.2356,0.0628,-0.0021,-0.0774,0.5755,-0.0108,1.03
1833,4000,0.6738,0.1144,0.2128,0.4281,0.4808,-0.0152,10.63,181.63,0.75,130538.0,0.0,0.2286,0.0587,-0.0017,-0.0729,0.5237,-0.0127,1.03
1834,4000,0.6804,0.1107,0.2097,0.4364,0.4885,-0.0146,11.41,180.64,0.76,130022.0,0.0,0.2316,0.0598,-0.0019,-0.0745,0.547,-0.0126,1.03
1835,4000,0.6823,0.1102,0.208,0.4402,0.486,-0.0138,11.25,163.91,0.75,130279.0,0.0,0.231,0.0624,-0.002,-0.0764,0.5926,-0.0129,1.03
